Order_Date,Country,Product_Category,Sales_Amount,Profit_Margin,Shipping_Cost,Order_Status
2024-01-02,France,Fashion,1302.53,0.05,95.63,Delivered
2024-01-02,Germany,Beauty,286.93,0.11,48.05,Cancelled
2024-01-02,France,Sports,1025.6795811518323,0.19,55.54,Cancelled
2024-01-04,USA,Electronics,92.56,0.26,74.69,Returned
2024-01-05,France,Sports,1025.6795811518323,0.29,78.31,Cancelled
2024-01-05,Canada,Beauty,415.45,0.29,63.74,Delivered
2024-01-06,Unknown,Fashion,1325.64,0.15,30.01,Returned
2024-01-09,UK,Home Decor,576.15,0.24,76.86,Cancelled
2024-01-09,France,Beauty,1933.35,0.25,21.51,Cancelled
2024-01-13,France,Beauty,1562.44,0.18,16.03,Returned
2024-01-13,UK,Electronics,1584.46,0.22,44.59,Delivered
2024-01-14,Unknown,Home Decor,1858.0,0.22,45.81,Not Available
2024-01-15,UK,Sports,182.94,0.05,88.83,Returned
2024-01-15,Unknown,Beauty,73.64,0.2,74.29,Cancelled
2024-01-17,Canada,Beauty,1876.8,0.16,17.52,Returned
2024-01-18,Unknown,Sports,1894.11,0.06,20.55,Delivered
2024-01-20,France,Home Decor,1176.31,0.22,68.35,Not Available
2024-01-21,Unknown,Home Decor,1094.86,0.2,18.59,Returned
2024-01-22,USA,Home Decor,1331.06,0.24,55.51,Returned
2024-01-22,France,Electronics,491.98,0.16,94.93,Delivered
2024-01-26,UK,Electronics,1020.73,0.05,16.81,Not Available
2024-01-27,Canada,Sports,1530.83,0.18,85.41,Delivered
2024-01-28,Germany,Sports,516.4,0.15,37.26,Cancelled
2024-01-28,USA,Electronics,179.97,0.23,74.66,Cancelled
2024-01-29,Germany,Beauty,1789.57,0.22,80.76,Cancelled
2024-02-02,UK,Home Decor,901.86,0.11,84.57,Returned
2024-02-02,USA,Others,171.47,0.29,91.17,Cancelled
2024-02-04,Germany,Sports,1574.95,0.2,60.77,Not Available
2024-02-04,UK,Beauty,1344.39,0.13,75.92,Delivered
2024-02-04,Germany,Electronics,927.08,0.16,80.26,Cancelled
2024-02-05,Unknown,Electronics,1912.9,0.16,76.1,Returned
2024-02-05,Unknown,Beauty,609.92,0.29,97.13,Delivered
2024-02-06,Unknown,Beauty,1369.11,0.23,28.03,Cancelled
2024-02-06,Canada,Others,1945.41,0.09,15.2,Delivered
2024-02-07,UK,Beauty,161.26,0.12,19.23,Not Available
2024-02-08,Canada,Beauty,177.15,0.26,26.51,Returned
2024-02-08,Canada,Sports,1918.24,0.26,75.11,Not Available
2024-02-10,Unknown,Others,335.43,0.18,68.92,Delivered
2024-02-10,Unknown,Fashion,335.43,0.18,68.92,Delivered
2024-02-10,Unknown,Sports,1968.17,0.16,48.04,Returned
2024-02-11,UK,Electronics,1952.95,0.23,92.89,Delivered
2024-02-13,France,Electronics,342.83,0.14,26.13,Not Available
2024-02-13,UK,Electronics,1710.28,0.21,62.21,Delivered
2024-02-14,Canada,Fashion,1292.54,0.16,83.54,Cancelled
2024-02-15,France,Sports,1963.53,0.22,41.88,Returned
2024-02-16,Canada,Beauty,945.57,0.19,34.38,Cancelled
2024-02-17,Unknown,Home Decor,1043.37,0.26,82.6,Delivered
2024-02-18,Unknown,Home Decor,181.84,0.12,78.16,Not Available
