Order_Date,Customer_ID,Country,Product_Category,Sales_Amount,Profit_Margin,Shipping_Cost,Unused_Internal_Code,Order_Status
2024-12-30,CUS-1061,UK,Electronics,1266.53,0.22,55.05,TXN-255,Cancelled
2024-12-30,CUS-1022,France,Electronics,930.95,0.13,71.17,TXN-477,Cancelled
2024-12-30,CUS-1008,UK,Home Decor,1193.89,0.22,16.86,TXN-721,
2024-12-30,CUS-1011,Canada,Beauty,377.63,0.07,34.72,TXN-880,
2024-12-30,CUS-1000,UK,Fashion,1486.9,0.09,82.63,TXN-967,Delivered
2024-12-30,CUS-1057,France,Electronics,1732.45,0.26,51.37,TXN-889,Returned
2024-12-30,CUS-1000,UK,Sports,472.64,0.11,59.19,TXN-685,
2024-12-30,CUS-1033,Canada,Home Decor,236.64,0.26,48.95,TXN-536,
2024-12-30,CUS-1095,USA,Fashion,96.1,0.12,13.95,TXN-306,
2024-12-30,CUS-1047,France,Home Decor,1301.84,0.21,24.92,TXN-487,
2024-12-30,CUS-1088,USA,Fashion,1233.83,0.22,50.1,TXN-579,Cancelled
2024-08-02,CUS-1000,USA,Fashion,1116.06,0.18,28.83,TXN-890,
2024-11-26,CUS-1015,USA,Electronics,502.3,0.13,14.5,TXN-986,Cancelled
2025-04-03,CUS-1060,Germany,Home Decor,812.27,0.1,85.93,TXN-937,
2024-03-28,CUS-1063,,Home Decor,1209.23,0.06,98.31,TXN-439,Returned
2025-01-07,CUS-1062,Germany,Sports,1018.7,0.13,81.38,TXN-968,Delivered
2024-04-09,CUS-1068,,Sports,1976.18,0.21,86.84,TXN-439,Returned
2024-12-25,CUS-1021,USA,Electronics,316.06,0.28,31.78,TXN-303,
2024-05-31,CUS-1092,France,Electronics,1405.53,0.27,96.46,TXN-260,
2024-05-10,CUS-1066,,Beauty,838.42,0.24,27.72,TXN-639,
2024-05-29,CUS-1075,Canada,Sports,884.99,0.25,95.63,TXN-491,Returned
2024-11-04,CUS-1025,Canada,Fashion,1449.32,0.22,99.53,TXN-868,
2024-09-14,CUS-1015,UK,Home Decor,1400.25,0.12,74.06,TXN-776,Returned
2024-12-09,CUS-1050,,Electronics,1982.95,0.28,98.3,TXN-674,Cancelled
2025-05-06,CUS-1085,France,Home Decor,300.37,0.22,61.26,TXN-633,Delivered
2025-02-17,CUS-1056,Germany,Home Decor,253.01,0.19,33.36,TXN-169,Delivered
2024-10-20,CUS-1028,USA,Beauty,1462.46,0.08,49.33,TXN-992,Returned
2025-01-20,CUS-1077,UK,Sports,,0.16,63.42,TXN-504,Cancelled
2024-07-10,CUS-1091,Canada,Electronics,584.61,0.17,16.58,TXN-707,Returned
2025-03-19,CUS-1068,Germany,Home Decor,204.87,0.27,66.01,TXN-774,Cancelled
2024-10-03,CUS-1046,Germany,Electronics,217.03,0.19,98.31,TXN-690,
2024-06-09,CUS-1093,USA,Fashion,1793.67,0.15,27.11,TXN-616,Cancelled
2025-04-04,CUS-1061,,Beauty,424.14,0.29,81.33,TXN-927,Cancelled
2024-11-09,CUS-1068,Canada,Fashion,680.57,0.08,91.71,TXN-219,Cancelled
2024-01-22,CUS-1075,France,Electronics,491.98,0.16,94.93,TXN-913,Delivered
2024-09-09,CUS-1015,Germany,Electronics,742.24,0.06,96.41,TXN-789,Cancelled
2024-08-23,CUS-1089,USA,,185.38,0.23,56.93,TXN-787,
2024-12-10,CUS-1089,France,Home Decor,1062.17,0.28,97.96,TXN-316,
2024-02-18,CUS-1047,,Home Decor,181.84,0.12,78.16,TXN-155,
2025-04-19,CUS-1084,Canada,Fashion,1610.7,0.26,24.55,TXN-465,Cancelled
2024-02-28,CUS-1038,,Beauty,505.74,0.12,52.92,TXN-798,Returned
2024-06-18,CUS-1099,Germany,Home Decor,1103.02,0.28,74.65,TXN-603,Returned
2025-04-20,CUS-1032,France,Sports,1766.15,0.24,32.26,TXN-843,
2024-07-06,CUS-1093,France,Fashion,1319.21,0.25,67.66,TXN-866,Delivered
