Order_Date,Country,Product_Category,Sales_Amount,Profit_Margin,Shipping_Cost,Order_Status,Profit_Amount,Gross_Profit,Net_Profit
2024-01-02,France,Fashion,1302.53,0.05,95.63,Delivered,65.12650000000001,65.12650000000001,-30.50349999999999
2024-01-02,Germany,Beauty,286.93,0.11,48.05,Cancelled,31.5623,31.5623,-16.487699999999997
2024-01-02,France,Sports,1025.6795811518323,0.19,55.54,Cancelled,194.87912041884815,194.87912041884815,139.33912041884815
2024-01-04,USA,Electronics,92.56,0.26,74.69,Returned,24.0656,24.0656,-50.624399999999994
2024-01-05,France,Sports,1025.6795811518323,0.29,78.31,Cancelled,297.44707853403133,297.44707853403133,219.13707853403133
2024-01-05,Canada,Beauty,415.45,0.29,63.74,Delivered,120.48049999999999,120.48049999999999,56.74049999999999
2024-01-06,Unknown,Fashion,1325.64,0.15,30.01,Returned,198.846,198.846,168.836
2024-01-09,UK,Home Decor,576.15,0.24,76.86,Cancelled,138.27599999999998,138.27599999999998,61.41599999999998
2024-01-09,France,Beauty,1933.35,0.25,21.51,Cancelled,483.3375,483.3375,461.8275
2024-01-13,France,Beauty,1562.44,0.18,16.03,Returned,281.2392,281.2392,265.2092
2024-01-13,UK,Electronics,1584.46,0.22,44.59,Delivered,348.5812,348.5812,303.99120000000005
2024-01-14,Unknown,Home Decor,1858.0,0.22,45.81,Not Available,408.76,408.76,362.95
2024-01-15,UK,Sports,182.94,0.05,88.83,Returned,9.147,9.147,-79.68299999999999
2024-01-15,Unknown,Beauty,73.64,0.2,74.29,Cancelled,14.728000000000002,14.728000000000002,-59.562000000000005
2024-01-17,Canada,Beauty,1876.8,0.16,17.52,Returned,300.288,300.288,282.76800000000003
2024-01-18,Unknown,Sports,1894.11,0.06,20.55,Delivered,113.64659999999999,113.64659999999999,93.0966
2024-01-20,France,Home Decor,1176.31,0.22,68.35,Not Available,258.7882,258.7882,190.43820000000002
2024-01-21,Unknown,Home Decor,1094.86,0.2,18.59,Returned,218.97199999999998,218.97199999999998,200.38199999999998
2024-01-22,USA,Home Decor,1331.06,0.24,55.51,Returned,319.45439999999996,319.45439999999996,263.9444
2024-01-22,France,Electronics,491.98,0.16,94.93,Delivered,78.7168,78.7168,-16.2132
2024-01-26,UK,Electronics,1020.73,0.05,16.81,Not Available,51.036500000000004,51.036500000000004,34.2265
2024-01-27,Canada,Sports,1530.83,0.18,85.41,Delivered,275.5494,275.5494,190.1394
2024-01-28,Germany,Sports,516.4,0.15,37.26,Cancelled,77.46,77.46,40.199999999999996
2024-01-28,USA,Electronics,179.97,0.23,74.66,Cancelled,41.393100000000004,41.393100000000004,-33.26689999999999
2024-01-29,Germany,Beauty,1789.57,0.22,80.76,Cancelled,393.7054,393.7054,312.9454
2024-02-02,UK,Home Decor,901.86,0.11,84.57,Returned,99.2046,99.2046,14.634600000000006
2024-02-02,USA,Others,171.47,0.29,91.17,Cancelled,49.726299999999995,49.726299999999995,-41.44370000000001
2024-02-04,Germany,Sports,1574.95,0.2,60.77,Not Available,314.99,314.99,254.22
2024-02-04,UK,Beauty,1344.39,0.13,75.92,Delivered,174.7707,174.7707,98.8507
2024-02-04,Germany,Electronics,927.08,0.16,80.26,Cancelled,148.33280000000002,148.33280000000002,68.07280000000002
2024-02-05,Unknown,Electronics,1912.9,0.16,76.1,Returned,306.064,306.064,229.96400000000003
2024-02-05,Unknown,Beauty,609.92,0.29,97.13,Delivered,176.87679999999997,176.87679999999997,79.74679999999998
2024-02-06,Unknown,Beauty,1369.11,0.23,28.03,Cancelled,314.89529999999996,314.89529999999996,286.86529999999993
2024-02-06,Canada,Others,1945.41,0.09,15.2,Delivered,175.0869,175.0869,159.88690000000003
2024-02-07,UK,Beauty,161.26,0.12,19.23,Not Available,19.3512,19.3512,0.1211999999999982
2024-02-08,Canada,Beauty,177.15,0.26,26.51,Returned,46.059000000000005,46.059000000000005,19.549000000000003
2024-02-08,Canada,Sports,1918.24,0.26,75.11,Not Available,498.74240000000003,498.74240000000003,423.6324
2024-02-10,Unknown,Others,335.43,0.18,68.92,Delivered,60.3774,60.3774,-8.5426
2024-02-10,Unknown,Fashion,335.43,0.18,68.92,Delivered,60.3774,60.3774,-8.5426
2024-02-10,Unknown,Sports,1968.17,0.16,48.04,Returned,314.90720000000005,314.90720000000005,266.8672
2024-02-11,UK,Electronics,1952.95,0.23,92.89,Delivered,449.17850000000004,449.17850000000004,356.28850000000006
2024-02-13,France,Electronics,342.83,0.14,26.13,Not Available,47.9962,47.9962,21.866200000000003
2024-02-13,UK,Electronics,1710.28,0.21,62.21,Delivered,359.1588,359.1588,296.9488
2024-02-14,Canada,Fashion,1292.54,0.16,83.54,Cancelled,206.8064,206.8064,123.26639999999999
2024-02-15,France,Sports,1963.53,0.22,41.88,Returned,431.9766,431.9766,390.0966
2024-02-16,Canada,Beauty,945.57,0.19,34.38,Cancelled,179.65830000000003,179.65830000000003,145.27830000000003
2024-02-17,Unknown,Home Decor,1043.37,0.26,82.6,Delivered,271.27619999999996,271.27619999999996,188.67619999999997
2024-02-18,Unknown,Home Decor,181.84,0.12,78.16,Not Available,21.8208,21.8208,-56.3392
2024-02-18,USA,Electronics,1142.33,0.27,24.52,Cancelled,308.4291,308.4291,283.9091
2024-02-19,USA,Others,1025.6795811518323,0.22,27.24,Delivered,225.6495078534031,225.6495078534031,198.40950785340308
2024-02-20,USA,Sports,1793.28,0.14,10.75,Cancelled,251.05920000000003,251.05920000000003,240.30920000000003
2024-02-20,Germany,Fashion,531.61,0.06,55.28,Cancelled,31.8966,31.8966,-23.3834
2024-02-20,Canada,Sports,1137.68,0.27,10.81,Returned,307.1736,307.1736,296.3636
2024-02-21,Germany,Beauty,241.26,0.12,40.2,Cancelled,28.951199999999996,28.951199999999996,-11.248800000000006
